energy_code,country_code,year,electricity_ktoe,country,energy_source
RA100,DK,1996,1.634,Denmark,Hydropower
RA100,EE,1996,0.172,Estonia,Hydropower
RA100,EL,1996,373.861,Greece,Hydropower
RA100,ES,1996,3420.98,Spain,Hydropower
RA100,EU27_2020,1996,28133.042,EU27 (total of EU),Hydropower
RA100,FI,1996,1019.776,Finland,Hydropower
RA100,FR,1996,5560.539,France,Hydropower
RA100,HR,1996,676.071,Croatia,Hydropower
RA100,HU,1996,17.799,Hungary,Hydropower
RA100,IE,1996,62.081,Ireland,Hydropower
RA100,IT,1996,3614.531,Italy,Hydropower
RA100,LT,1996,28.031,Lithuania,Hydropower
RA100,LU,1996,5.159,Luxembourg,Hydropower
RA100,LV,1996,159.967,Latvia,Hydropower
RA100,MT,1996,0.0,Malta,Hydropower
RA100,NL,1996,6.879,Netherlands,Hydropower
RA100,NO,1996,8930.525,Norway,Hydropower
RA100,PL,1996,166.036,Poland,Hydropower
RA100,PT,1996,1268.53,Portugal,Hydropower
RA100,RO,1996,1354.686,Romania,Hydropower
RA100,SE,1996,4448.839,Sweden,Hydropower
RA100,SI,1996,315.821,Slovenia,Hydropower
RA100,SK,1996,363.457,Slovakia,Hydropower
