freq,nrg_bal,siec,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,GEP,FE,KTOE,CZ	3949.957 	4188.478 	4258.813 	4253.068 	4165.477 	4904.230 	4893.270 	4665.394 	4734.693 	4705.311 	4649.196 	4650.693 	5002.683 	4558.167 	4279.421 	4413.336 	4399.011 	4146.505 	3944.959 	3913.252 	3978.721 	4172.339 	4111.433 	4085.103 	3907.339 	3415.067 	3636.403 	3606.130 	2946.334 	2649.354 
A,GEP,FE,KTOE,DE	30420.550 	31309.028 	30491.917 	31455.632 	30423.388 	31576.268 	32045.228 	32040.843 	33611.952 	33137.747 	33272.829 	33536.973 	34601.290 	33570.765 	30787.962 	32579.708 	32087.188 	32493.293 	32805.073 	30977.730 	30953.740 	31699.656 	30384.351 	28774.807 	24427.085 	21616.423 	24248.614 	24400.092 	19657.137 	18493.380 
A,GEP,FE,KTOE,DK	2999.484 	4425.537 	3555.202 	3194.325 	2966.724 	2617.541 	2740.069 	2793.207 	3275.064 	2656.922 	2272.915 	3130.696 	2494.497 	2280.310 	2263.113 	2272.822 	1809.825 	1364.049 	1614.364 	1220.462 	858.838 	1039.702 	785.776 	815.770 	539.029 	439.871 	571.952 	566.353 	380.651 	312.191 
A,GEP,FE,KTOE,EE	746.776 	782.115 	791.660 	734.394 	710.404 	730.439 	727.859 	730.610 	869.304 	880.825 	867.928 	825.623 	1035.684 	892.863 	708.340 	1024.936 	1007.223 	901.978 	1036.543 	950.731 	738.506 	909.909 	971.792 	892.100 	470.575 	267.192 	371.904 	522.740 	252.720 	235.493 
A,GEP,FE,KTOE,EL	3244.626 	3269.561 	3385.555 	3645.142 	3838.349 	4237.403 	4311.608 	4330.868 	4472.313 	4548.151 	4558.961 	4514.187 	4997.163 	4915.047 	4549.355 	4027.945 	4387.704 	4352.537 	3677.128 	3281.685 	3179.020 	3398.366 	3558.709 	3189.845 	2792.624 	2631.218 	2796.262 	2586.301 	2175.578 	2557.819 
A,GEP,FE,KTOE,ES	7374.463 	6516.767 	8330.009 	8384.523 	10281.255 	10681.083 	10323.044 	12357.610 	12008.169 	13750.043 	15876.956 	15733.276 	16176.182 	16298.796 	14160.533 	11899.828 	12564.144 	12496.561 	9743.164 	9232.588 	10591.831 	9280.224 	10912.063 	9649.394 	9590.026 	7533.931 	7608.057 	9124.392 	6776.127 	5649.720 
A,GEP,FE,KTOE,FI	2173.173 	2763.199 	2418.831 	2055.546 	2174.549 	2057.378 	2578.316 	2802.622 	3635.767 	3202.106 	2028.872 	3154.745 	2858.731 	2258.479 	2282.807 	2869.260 	2221.728 	1594.469 	1868.213 	1543.122 	1252.220 	1278.032 	1131.158 	1292.527 	1084.919 	843.144 	866.023 	681.155 	402.741 	311.543 
A,GEP,FE,KTOE,FR	3311.780 	3726.999 	3356.836 	4686.930 	4435.684 	4352.537 	3995.873 	4528.289 	4933.534 	4860.619 	5447.635 	4892.691 	5001.806 	4778.943 	4412.571 	4954.782 	5072.381 	4851.408 	4588.199 	3068.245 	3839.223 	4852.223 	5594.503 	4226.874 	4585.246 	4121.109 	4152.569 	5114.513 	3430.269 	2376.078 
A,GEP,FE,KTOE,HR	308.169 	283.835 	376.870 	466.294 	485.039 	413.500 	480.653 	589.338 	665.004 	538.607 	515.649 	539.639 	670.851 	596.672 	506.139 	472.734 	512.038 	458.401 	401.702 	300.860 	320.576 	365.529 	401.333 	323.852 	370.335 	402.984 	393.938 	443.302 	449.398 	350.911 
A,GEP,FE,KTOE,HU	1700.172 	1775.838 	1819.433 	1979.880 	2019.776 	1785.727 	1894.411 	1888.822 	1960.103 	1793.361 	1724.133 	1797.457 	2012.064 	1964.808 	1512.237 	1598.423 	1515.562 	1392.558 	1040.669 	906.925 	965.997 	1075.786 	1139.373 	1068.369 	1134.742 	1134.828 	1123.443 	1053.255 	871.184 	850.060 
A,GEP,FE,KTOE,IE	1450.989 	1561.221 	1623.388 	1694.583 	1774.807 	1933.620 	2029.665 	2017.283 	2039.811 	2048.237 	2042.390 	2118.745 	2197.379 	2263.146 	2050.676 	2102.116 	1869.341 	1881.943 	1715.227 	1669.463 	1740.416 	1952.499 	1873.600 	1779.653 	1626.492 	1592.103 	1717.264 	1764.771 	1483.157 	1435.484 
